From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
237;243;river_large;21;-1;-1;-1;-1;Pentecost-Numenor
238;248;river_large;22;-1;-1;-1;-1;Lancelot-Robinson
248;243;river_large;22;-1;-1;-1;-1;Robinson-Numenor
245;243;river_large;22;-1;-1;-1;-1;Henry's Star-Numenor
245;246;river_large;22;-1;-1;-1;-1;Henry's Star-Robinson
175;281;river_large;56;-1;-1;-1;-1;Endeavour-Gemini
279;269;river_large;56;-1;-1;-1;-1;Gemini-Liberty
279;270;river_large;56;-1;-1;-1;-1;Gemini-Ride
280;275;river_large;56;-1;-1;-1;-1;Gemini-Lincoln
268;274;river_large;56;-1;-1;-1;-1;Liberty-Challenger
268;271;river_large;56;-1;-1;-1;-1;Liberty-Ride
271;274;river_large;56;-1;-1;-1;-1;Ride-Challenger
270;275;river_large;56;-1;-1;-1;-1;Ride-Lincoln
17;309;river_large;19;-1;-1;-1;-1;Paladin-Touchstone
307;315;river_large;55;-1;-1;-1;-1;Touchstone-Discovery
308;304;river_large;55;-1;-1;-1;-1;Touchstone-John Henry
307;311;river_large;55;-1;-1;-1;-1;Touchstone-Glenn
314;300;river_large;55;-1;-1;-1;-1;Discovery-Weyland
301;312;river_large;55;-1;-1;-1;-1;Weyland-Glenn
311;304;river_large;55;-1;-1;-1;-1;Glenn-John Henry
306;276;river_large;55;-1;-1;-1;-1;John Henry-Lincoln
313;327;river_large;57;-1;-1;-1;-1;Glenn-Citadel
310;318;river_large;57;-1;-1;-1;-1;Glenn-Shepard
326;322;river_large;57;-1;-1;-1;-1;Citadel-Sharman
326;325;river_large;57;-1;-1;-1;-1;Citadel-Jemison
320;325;river_large;57;-1;-1;-1;-1;Sharman-Jemison
324;295;river_large;57;-1;-1;-1;-1;Jemison-Guion
294;316;river_large;179;-1;-1;-1;-1;Guion-Shepard
294;298;river_large;179;-1;-1;-1;-1;Guion-Garneau
298;316;river_large;179;-1;-1;-1;-1;Garneau-Shepard
296;292;river_large;179;-1;-1;-1;-1;Guion-Hadfield
291;297;river_large;179;-1;-1;-1;-1;Hadfield-Garneau
291;257;river_large;179;-1;-1;-1;-1;Hadfield-Garneau
317;265;river_large;57;-1;-1;-1;-1;Shepard-Heartland
264;257;river_large;54;-1;-1;-1;-1;Heartland-Collins
306;261;river_large;54;-1;-1;-1;-1;John Henry-Heartland
256;254;river_large;54;-1;-1;-1;-1;Collins-Armstrong
251;258;river_large;54;-1;-1;-1;-1;Armstrong-Aldrin
262;260;river_large;54;-1;-1;-1;-1;Heartland-Aldrin
278;282;river_large;178;-1;-1;-1;-1;Lincoln-Lovell
283;259;river_large;178;-1;-1;-1;-1;Lovell-Aldrin
284;285;river_large;178;-1;-1;-1;-1;Lovell-Bluford
259;285;river_large;178;-1;-1;-1;-1;Aldrin-Bluford
286;288;river_large;178;-1;-1;-1;-1;Bluford-Corrigan
287;329;river_large;178;-1;-1;-1;-1;Corrigan-Apollo
253;329;river_large;53;-1;-1;-1;-1;Armstrong-Apollo
253;336;river_large;53;-1;-1;-1;-1;Armstrong-Pioneer
331;338;river_large;53;-1;-1;-1;-1;Apollo-Huygens
328;337;river_large;53;-1;-1;-1;-1;Apollo-Pioneer
338;333;river_large;53;-1;-1;-1;-1;Huygens-Beowulf
337;334;river_large;53;-1;-1;-1;-1;Pioneer-Beowulf
265;299;river_large;54;-1;-1;-1;-1;Heartland-Garneau
293;341;river_large;179;-1;-1;-1;-1;Hadfield-Tokarev
340;371;river_large;93;-1;-1;-1;-1;Tokarev-Tannhauser
370;361;river_large;93;-1;-1;-1;-1;Tannhauser-Tereshkova
371;380;river_large;92;-1;-1;-1;-1;Tannhauser-Sotogawa no Ten
381;378;river_large;92;-1;-1;-1;-1;Sotogawa no Ten-Tengoku
379;383;river_large;92;-1;-1;-1;-1;Tengoku-Dyomin
384;382;river_large;92;-1;-1;-1;-1;Dyomin-Sotogawa no Ten-Tengoku
364;368;river_large;93;-1;-1;-1;-1;Tereshkova-Korolev
368;375;river_large;93;-1;-1;-1;-1;Korolev-Aksyonov
373;342;river_large;93;-1;-1;-1;-1;Aksyonov-Gagarin
363;343;river_large;93;-1;-1;-1;-1;Tereshkova-Gagarin
346;354;river_large;91;-1;-1;-1;-1;Gagarin-Levchenko
345;347;river_large;91;-1;-1;-1;-1;Gagarin-Novyy Arkhangelsk
348;357;river_large;91;-1;-1;-1;-1;Novyy Arkhangelsk-Yegorov
359;353;river_large;91;-1;-1;-1;-1;Yegorov-Hu Lao
353;350;river_large;91;-1;-1;-1;-1;Hu Lao-Novyy Arkhangelsk
408;417;river_large;414;-1;-1;-1;-1;Sol-Alpha Centauri
415;423;river_large;89;-1;-1;-1;-1;Alpha Centauri-Proxima Centauri
416;421;river_large;89;-1;-1;-1;-1;Alpha Centauri-Iota Centauri
419;439;river_large;89;-1;-1;-1;-1;Iota Centauri-Delta Pavonis
424;428;river_large;89;-1;-1;-1;-1;Proxima Centauri-Sigma Draconis
428;436;river_large;87;-1;-1;-1;-1;Sigma Draconis-Delta Pavonis
402;441;river_large;414;-1;-1;-1;-1;Sol-Lamba Orionis
441;425;river_large;87;-1;-1;-1;-1;Lamba Orionis-Sigma Draconis
440;435;river_large;87;-1;-1;-1;-1;Lamba Orionis-Epsilon Indi
433;429;river_large;87;-1;-1;-1;-1;Epsilon Indi-Beta Hydri
426;430;river_large;87;-1;-1;-1;-1;Sigma Draconis-Beta Hydri
437;445;river_large;86;-1;-1;-1;-1;Delta Pavonis-Altair
444;449;river_large;86;-1;-1;-1;-1;Altair-Cygni
446;451;river_large;86;-1;-1;-1;-1;Altair-Libertas
447;452;river_large;86;-1;-1;-1;-1;Cygni-Libertas
435;472;river_large;87;-1;-1;-1;-1;Epsilon Indi-Alpha Arietis
470;455;river_large;90;-1;-1;-1;-1;Alpha Arietis-Tau Ceti
472;466;river_large;90;-1;-1;-1;-1;Alpha Arietis-Eta Cassiopeiae
466;456;river_large;90;-1;-1;-1;-1;Eta Cassiopeiae-Tau Ceti
411;469;river_large;414;-1;-1;-1;-1;Sol-Eta Cassiopeiae
458;464;river_large;90;-1;-1;-1;-1;Tau Ceti-Epsilon Eridani
413;476;river_large;414;-1;-1;-1;-1;Sol-Sirius
468;476;river_large;90;-1;-1;-1;-1;Eta Cassiopeiae-Sirius
473;482;river_large;88;-1;-1;-1;-1;Sirius-Rigel
462;481;river_large;88;-1;-1;-1;-1;Epsilon Eridani-Rigel
477;483;river_large;88;-1;-1;-1;-1;Procyon-Rigel
477;474;river_large;88;-1;-1;-1;-1;Procyon-Sirius
486;474;river_large;88;-1;-1;-1;-1;Bellatrix-Sirius
485;487;river_large;88;-1;-1;-1;-1;Bellatrix-Trappist
484;478;river_large;88;-1;-1;-1;-1;Bellatrix-Procyon
479;491;river_large;88;-1;-1;-1;-1;Procyon-Trappist
490;496;river_large;184;-1;-1;-1;-1;Trappist-Gorgonea Prima
488;493;river_large;184;-1;-1;-1;-1;Trappist-Pi Mensae
493;496;river_large;184;-1;-1;-1;-1;Pi Mensae-Gorgonea Prima
494;369;river_large;93;-1;-1;-1;-1;Pi Mensae-Tannhauser Gate
254;495;river_large;54;-1;-1;-1;-1;Armstrong-Gorgonea Prima
337;480;river_large;88;-1;-1;-1;-1;Pioneer-Procyon
332;481;river_large;88;-1;-1;-1;-1;Beowulf-Rigel
-1;-1;;-1;-1;-1;-1;-1;
